Mes,USD
2018-01,519371.72
2018-02,1231187.1
2018-03,1878699.73
2018-04,2201890.02
2018-05,1845317.06
2018-06,1990177.73
2018-07,2031602.57
2018-08,1641118.14
2018-09,1008852.1
2018-10,1241981.26
2018-11,2321438.39
2018-12,3264179.76
2019-01,1684014.87
2019-02,1652574.64
2019-03,1342447.02
2019-04,1412433.32
2019-05,1272128
2019-06,1710903.91
2019-07,1713767.01
2019-08,1008913.23
2019-09,1412135.87
2019-10,1654883.08
2019-11,1344797.44
2019-12,1474142.12
2020-01,1171688.73
2020-02,1346884.8
2020-03,1146345.57
2020-04,535906.34
2020-05,1218231.65
2020-06,2573286.1
2020-07,1946369.45
2020-08,2168601.44
2020-09,1957580.25
2020-10,2484694.77
2020-11,3125905.7
2020-12,3112713.9
